title,genre,description,rating,available on,language, duration
Whiplash,"drama, music","obsessive mentor, jazz drumming, pressure",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",106 minutes
Mad Max: Fury Road,"action, dystopian","desert chase, survival, rebellion",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",120 minutes
The Prestige,"mystery, drama","magician rivalry, illusion, obsession",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",130 minutes
Rang De Basanti,"drama, patriotic","youth activism, Indian history, rebellion",⭐⭐⭐⭐⭐,Netflix," ""Hindi""",160 minutes
Uri: The Surgical Strike,"action, war","Indian army, retaliation, patriotism",⭐⭐⭐⭐,Zee5," ""Hindi""",138 minutes
Her,"sci-fi, romance","AI romance, loneliness, futuristic society",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",126 minutes
Coco,"animation, fantasy","A young boy, Miguel, dreams of becoming a musician despite his family's ancestral ban on music. In pursuit of his passion, he finds himself in the Land of the Dead and unravels long-hidden family secrets.",⭐⭐⭐⭐⭐,Disney+ Hotstar," ""English""",105 minutes
Raazi,"thriller, espionage","Indian spy, Pakistan, undercover mission",⭐⭐⭐⭐,Amazon Prime Video," ""Hindi""",140 minutes
The Grand Budapest Hotel,"comedy, crime","concierge, heist, quirky hotel drama",⭐⭐⭐⭐⭐,Disney+ Hotstar," ""English""",110 miutes
October,"drama, romance","slow-burn love, hospital care, selflessness",⭐⭐⭐⭐,Amazon Prime Video," ""Hindi""",115 minutes
The Theory of Everything,"biography, drama","Stephen Hawking, love, ALS, physics",⭐⭐⭐⭐,Amazon Prime Video," ""English""",123 minutes
Ford v Ferrari,"sports, drama","race engineering, rivalry, Le Mans",⭐⭐⭐⭐,Disney+ Hotstar," ""English""",152 minutes
Swades,"drama, rural development","NASA scientist returns to village, self-reliance",⭐⭐⭐⭐⭐,Netflix," ""Hindi""",210 minutes
Parched,"drama, feminist","rural women, patriarchy, rebellion",⭐⭐⭐⭐,Amazon Prime Video," ""Hindi""",121 minutes
Room,"drama, thriller","captivity, mother-son bond, escape",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",118 minutes
The Truman Show,"drama, sci-fi",man unknowingly living in a reality show,⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",103 minutes
The Pianist,"war, biography","Holocaust survivor, music, WWII",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",150 minutes
Nightcrawler,"thriller, crime","media ethics, crime journalism, ambition",⭐⭐⭐⭐,Amazon Prime Video," ""English""",117 minutes
Lion,"biography, drama","lost Indian boy, adoption, search for home",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English",118 minutes
Drishyam,"thriller, crime","cover-up, family protection, suspense",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Hindi""",175 minutes
Barbarian,"horror, thriller","Airbnb gone wrong, unexpected twist",⭐⭐⭐⭐,Disney+ Hotstar," ""English""",102 minutes
The Lunchbox,"romance, drama","dabbawala, handwritten letters, unexpected bond",⭐⭐⭐⭐⭐,Netflix," ""Hindi""",104 minutes
Edge of Tomorrow,"sci-fi, action","time loop, alien invasion, redemption arc",⭐⭐⭐⭐,Amazon Prime Video," ""English""",113 minutes
Super 30,"biography, drama","education, math genius, underprivileged students",⭐⭐⭐⭐,Disney+ Hotstar," ""Hindi""",153 minutes
Gully Boy,"drama, music","street rap, Mumbai, self-expression",⭐⭐⭐⭐⭐,Amazon Prime Video," ""Hindi""",157 minutes
Gone Girl,"thriller, psychological","missing wife, twisted marriage, manipulation",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",149 minutes
Masaan,"drama, social issues","Varanasi, grief, caste and redemption",⭐⭐⭐⭐,Netflix," ""Hindi""",111 minutes
Piku,"comedy, drama","father-daughter bond, constipation, emotional journey",⭐⭐⭐⭐,SonyLIV," ""Hindi""",134 minutes
Fight Club,"thriller, psychological","split personality, underground violence",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",139 minutes
Tumbbad,"horror, fantasy","Indian mythology, greed, cursed treasure",⭐⭐⭐⭐,Amazon Prime Video," ""Hindi""",106 minutes
Dead Poets Society,"drama, education","poetry, rebellion, seize the day",⭐⭐⭐⭐⭐,Disney+ Hotstar," ""English""",128 min
Shershaah,"war, biography","Kargil hero, Indian Army, patriotism",⭐⭐⭐⭐,Amazon Prime Video," ""Hindi""",135 min
Inside Out,"animation, emotional","introversion, childhood emotions, psychology",⭐⭐⭐⭐⭐,Disney+ Hotstar," ""English""",95 min
12 Angry Men,"drama, courtroom","jury, justice, one-man resistance",⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",96 min
Pink,"drama, courtroom","women's consent, self-defense, legal fight",⭐⭐⭐⭐⭐,Netflix," ""Hindi""",136 min
Requiem for a Dream,"drama, psychological","addiction, downfall, hallucinations",⭐⭐⭐⭐,Amazon Prime Video," ""English""",102 min
The White Tiger,"drama, social ladder","India’s class divide, corruption",⭐⭐⭐⭐,Netflix," ""Hindi""",126 min
Mimi,"comedy, drama","surrogacy, motherhood, Rajasthan",⭐⭐⭐⭐,Netflix," ""Hindi""",132 min
Haider,"drama, political","Kashmir, revenge, Hamlet adaptation",⭐⭐⭐⭐⭐,Netflix," ""Hindi""",160 min
